season,num_teams,scoring_type,draft_type,roster_slots,play_against_median,divisions,trade_deadline,waiver_type,max_acquisitions_season,max_acquisitions_week,draft_pick_trades,fractional_points,negative_points,playoff_tiebreaker
2018,10,Head-to-Head,Live Salary Cap Draft,"QB, WR, WR, RB, RB, TE, W/R/T, K, DEF, BN, BN, BN, BN, BN, BN, IR, IR",No,Yes (2 divisions),"November 17, 2018",FAB w/ Weekly rolling standings tiebreak,No maximum,No maximum,No,Yes,Yes,Best regular season record vs opponent wins
2019,10,Head-to-Head,Live Salary Cap Draft,"QB, WR, WR, RB, RB, TE, W/R/T, K, DEF, BN, BN, BN, BN, BN, BN, IR, IR",No,Yes (2 divisions),"November 9, 2019",FAB w/ Weekly rolling standings tiebreak,No maximum,No maximum,No,Yes,Yes,Best regular season record vs opponent wins
2020,10,Head-to-Head,Live Salary Cap Draft,"QB, WR, WR, RB, RB, TE, W/R/T, K, DEF, BN, BN, BN, BN, BN, BN, IR, IR",No,Yes (2 divisions),"November 14, 2020",FAB w/ Weekly rolling standings tiebreak,No maximum,No maximum,No,Yes,Yes,Best regular season record vs opponent wins
2021,10,Head-to-Head,Live Salary Cap Draft,"QB, WR, WR, RB, RB, TE, W/R/T, K, DEF, BN, BN, BN, BN, BN, BN, IR, IR",No,Yes (2 divisions),"November 20, 2021",FAB w/ Weekly rolling standings tiebreak,No maximum,No maximum,No,Yes,Yes,Best regular season record vs opponent wins
2022,10,Head-to-Head,Live Salary Cap Draft,"QB, WR, WR, RB, RB, TE, W/R/T, K, DEF, BN, BN, BN, BN, BN, BN, IR, IR",No,Yes (2 divisions),"November 19, 2022",FAB w/ Weekly rolling standings tiebreak,No maximum,No maximum,No,Yes,Yes,Best regular season record vs opponent wins
2023,10,Head-to-Head,Live Salary Cap Draft,"QB, WR, WR, RB, RB, TE, W/R/T, K, DEF, BN, BN, BN, BN, BN, BN, IR, IR",No,Yes (2 divisions),"November 18, 2023",FAB w/ Weekly rolling standings tiebreak,No maximum,No maximum,No,Yes,Yes,Best regular season record vs opponent wins
2024,10,Head-to-Head,Live Salary Cap Draft,"QB, WR, WR, RB, RB, TE, W/R/T, K, DEF, BN, BN, BN, BN, BN, BN, IR, IR",No,Yes (2 divisions),"November 16, 2024",FAB w/ Weekly rolling standings tiebreak,No maximum,No maximum,No,Yes,Yes,Best regular season record vs opponent wins
2025,10,Head-to-Head,Live Salary Cap Draft,"QB, WR, WR, RB, RB, TE, W/R/T, K, DEF, BN, BN, BN, BN, BN, BN, IR, IR",No,Yes (2 divisions),"November 22, 2025",FAB w/ Weekly rolling standings tiebreak,No maximum,No maximum,No,Yes,Yes,Best regular season record vs opponent wins
