season,week,team_name,opponent,result,team_score,opponent_score,is_bye,is_playoff
2018,10,Good Times,Eric's Team,Win,152.80,114.64,false,
2018,10,Eric's Team,Good Times,Loss,114.64,152.80,false,
2018,10,angry cat,OBJYN,Loss,106.42,163.40,false,
2018,10,OBJYN,angry cat,Win,163.40,106.42,false,
2018,10,Gonna Get a TD,Jamie's Fine Team,Win,108.96,93.32,false,
2018,10,Jamie's Fine Team,Gonna Get a TD,Loss,93.32,108.96,false,
2018,10,Going Streaking,Dave H's Team,Loss,139.30,156.52,false,
2018,10,Dave H's Team,Going Streaking,Win,156.52,139.30,false,
2018,11,Who is John Galt?,Jamie's Fine Team,Win,114.58,98.94,false,
2018,11,Jamie's Fine Team,Who is John Galt?,Loss,98.94,114.58,false,
2018,11,Good Times,Gonna Get a TD,Loss,140.84,153.22,false,
2018,11,Gonna Get a TD,Good Times,Win,153.22,140.84,false,
2018,11,Eric's Team,OBJYN,Win,122.52,82.70,false,
2018,11,OBJYN,Eric's Team,Loss,82.70,122.52,false,
2018,11,angry cat,Dave H's Team,Win,149.44,125.44,false,
2018,11,Dave H's Team,angry cat,Loss,125.44,149.44,false,
2018,11,Going Streaking,PokerA9,Win,150.02,98.62,false,
2018,11,PokerA9,Going Streaking,Loss,98.62,150.02,false,
2018,12,Who is John Galt?,Good Times,Loss,99.04,127.88,false,
2018,12,Good Times,Who is John Galt?,Win,127.88,99.04,false,
2018,12,Eric's Team,Gonna Get a TD,Win,125.34,119.36,false,
2018,12,Gonna Get a TD,Eric's Team,Loss,119.36,125.34,false,
2018,12,angry cat,Jamie's Fine Team,Loss,106.70,125.06,false,
2018,12,Jamie's Fine Team,angry cat,Win,125.06,106.70,false,
2018,12,OBJYN,Going Streaking,Win,163.58,140.82,false,
2018,12,Going Streaking,OBJYN,Loss,140.82,163.58,false,
2018,12,Dave H's Team,PokerA9,Win,123.54,76.82,false,
2018,12,PokerA9,Dave H's Team,Loss,76.82,123.54,false,
2018,13,Who is John Galt?,Eric's Team,Win,95.70,93.18,false,
2018,13,Eric's Team,Who is John Galt?,Loss,93.18,95.70,false,
2018,13,Good Times,Jamie's Fine Team,Loss,86.44,124.16,false,
2018,13,Jamie's Fine Team,Good Times,Win,124.16,86.44,false,
2018,13,angry cat,Going Streaking,Loss,84.86,137.46,false,
2018,13,Going Streaking,angry cat,Win,137.46,84.86,false,
2018,13,OBJYN,PokerA9,Win,132.96,112.58,false,
2018,13,PokerA9,OBJYN,Loss,112.58,132.96,false,
2018,13,Gonna Get a TD,Dave H's Team,Win,138.70,117.54,false,
2018,13,Dave H's Team,Gonna Get a TD,Loss,117.54,138.70,false,
2018,14,Who is John Galt?,Gonna Get a TD,Loss,69.40,109.28,false,
2018,14,Gonna Get a TD,Who is John Galt?,Win,109.28,69.40,false,
2018,14,Good Times,Going Streaking,Win,130.48,116.68,false,
2018,14,Going Streaking,Good Times,Loss,116.68,130.48,false,
2018,14,Eric's Team,Jamie's Fine Team,Loss,120.64,127.70,false,
2018,14,Jamie's Fine Team,Eric's Team,Win,127.70,120.64,false,
2018,14,angry cat,PokerA9,Win,147.40,70.50,false,
2018,14,PokerA9,angry cat,Loss,70.50,147.40,false,
2018,14,OBJYN,Dave H's Team,Loss,106.52,135.58,false,
2018,14,Dave H's Team,OBJYN,Win,135.58,106.52,false,
2018,15,Good Times,Dave H's Team,Loss,112.04,119.60,false,
2018,15,Dave H's Team,Good Times,Win,119.60,112.04,false,
2018,15,Gonna Get a TD,Going Streaking,Win,118.62,85.88,false,
2018,15,Going Streaking,Gonna Get a TD,Loss,85.88,118.62,false,
2018,15,Eric's Team,angry cat,Loss,50.42,111.54,false,
2018,15,angry cat,Eric's Team,Win,111.54,50.42,false,
